Freq_ax,HBQ,freq,dmso
867.91434,821.14624,867.91434,566.57376
870.07334,911.63866,870.07334,713.14927
872.23233,1099.0477,872.23233,836.19671
874.39132,866.05912,874.39132,703.36711
876.55031,799.4213,876.55031,614.00613
878.7093,871.11902,878.7093,642.7852
880.86829,817.9573,880.86829,566.45082
883.02728,705.73164,883.02728,600.07412
885.18627,773.05515,885.18627,691.37322
887.34526,742.42381,887.34526,652.53013
889.50425,653.10089,889.50425,636.47737
891.66324,747.2924,891.66324,625.17525
893.82224,758.7861,893.82224,621.21769
895.98123,804.59317,895.98123,696.57556
898.14022,836.90291,898.14022,655.70219
900.29921,700.70571,900.29921,562.7085
902.4582,710.69765,902.4582,641.3922
904.61719,679.70069,904.61719,661.50037
906.77618,759.84229,906.77618,617.35994
908.93517,768.73234,908.93517,603.60503
911.09416,699.8059,911.09416,705.48551
913.25315,850.91004,913.25315,1065.39518
915.41214,923.59842,915.41214,1299.48067
917.57114,857.33745,917.57114,1066.30574
919.73013,753.83316,919.73013,678.88378
921.88912,657.87517,921.88912,731.70281
924.04811,709.73631,924.04811,718.65139
926.2071,842.43276,926.2071,582.631
928.36609,737.13118,928.36609,764.84356
930.52508,676.25715,930.52508,901.06398
932.68407,728.89437,932.68407,766.47153
934.84306,1071.06849,934.84306,602.25615
937.00205,1053.00157,937.00205,586.43679
939.16104,646.42068,939.16104,659.99906
941.32004,1064.39478,941.32004,775.38436
943.47903,1253.43644,943.47903,858.34683
945.63802,952.8363,945.63802,777.02767
947.79701,753.93255,947.79701,643.10478
949.956,723.89605,949.956,630.5829
952.11499,739.077,952.11499,655.78983
954.27398,743.82834,954.27398,581.70918
956.43297,730.07898,956.43297,559.3494
958.59196,697.69581,958.59196,650.33236
960.75095,686.39411,960.75095,649.01725
962.90994,769.31723,962.90994,592.80807
965.06894,768.03221,965.06894,595.46742
967.22793,680.50866,967.22793,627.43732
969.38692,810.07749,969.38692,633.67073
971.54591,871.1643,971.54591,595.59256
973.7049,820.02668,973.7049,601.76984
975.86389,763.42464,975.86389,604.17773
978.02288,715.24664,978.02288,570.08496
980.18187,668.47717,980.18187,559.64575
982.34086,666.59903,982.34086,582.12302
984.49985,707.37736,984.49985,633.3503
986.65884,738.32723,986.65884,607.90014
988.81784,733.57217,988.81784,584.78616
990.97683,725.34022,990.97683,693.01244
993.13582,766.8821,993.13582,780.78626
995.29481,746.96588,995.29481,687.35616
997.4538,719.82239,997.4538,577.14853
999.61279,1140.23455,999.61279,593.78275
1001.77178,1516.5439,1001.77178,614.07722
1003.93077,1360.09231,1003.93077,704.76309
1006.08976,795.00182,1006.08976,822.80236
